number,name,type1,type2,total,hp,attack,defense,sp_atk,sp_def,speed,legendary,generation,image_url
20,Raticate Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,FALSE,1,https://img.pokemondb.net/sprites/home/normal/raticate-alolan-raticate.png
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/spearow.png
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/fearow.png
23,Ekans,Poison,NA,288,35,60,44,40,54,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/ekans.png
24,Arbok,Poison,NA,448,60,95,69,65,79,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/arbok.png
25,Pikachu,Electric,NA,320,35,55,40,50,50,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pikachu.png
25,Pikachu Partner Pikachu,Electric,NA,430,45,80,50,75,60,120,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pikachu-partner-pikachu.png
26,Raichu,Electric,NA,485,60,90,55,90,80,110,FALSE,1,https://img.pokemondb.net/sprites/home/normal/raichu.png
26,Raichu Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,FALSE,1,https://img.pokemondb.net/sprites/home/normal/raichu-alolan-raichu.png
27,Sandshrew,Ground,NA,300,50,75,85,20,30,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/sandshrew.png
27,Sandshrew Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/sandshrew-alolan-sandshrew.png
28,Sandslash,Ground,NA,450,75,100,110,45,55,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/sandslash.png
28,Sandslash Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/sandslash-alolan-sandslash.png
29,Nidoran♀,Poison,NA,275,55,47,52,40,40,41,FALSE,1,https://img.pokemondb.net/sprites/home/normal/nidoran♀.png
30,Nidorina,Poison,NA,365,70,62,67,55,55,56,FALSE,1,https://img.pokemondb.net/sprites/home/normal/nidorina.png
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,FALSE,1,https://img.pokemondb.net/sprites/home/normal/nidoqueen.png
32,Nidoran♂,Poison,NA,273,46,57,40,40,40,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/nidoran♂.png
33,Nidorino,Poison,NA,365,61,72,57,55,55,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/nidorino.png
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,FALSE,1,https://img.pokemondb.net/sprites/home/normal/nidoking.png
35,Clefairy,Fairy,NA,323,70,45,48,60,65,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/clefairy.png
36,Clefable,Fairy,NA,483,95,70,73,95,90,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/clefable.png
37,Vulpix,Fire,NA,299,38,41,40,50,65,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/vulpix.png
37,Vulpix Alolan Vulpix,Ice,NA,299,38,41,40,50,65,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/vulpix-alolan-vulpix.png
38,Ninetales,Fire,NA,505,73,76,75,81,100,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/ninetales.png
38,Ninetales Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,FALSE,1,https://img.pokemondb.net/sprites/home/normal/ninetales-alolan-ninetales.png
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,FALSE,1,https://img.pokemondb.net/sprites/home/normal/jigglypuff.png
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/wigglytuff.png
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/zubat.png
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/golbat.png
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/oddish.png
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/gloom.png
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/vileplume.png
46,Paras,Bug,Grass,285,35,70,55,45,55,25,FALSE,1,https://img.pokemondb.net/sprites/home/normal/paras.png
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/parasect.png
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/venonat.png
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/venomoth.png
50,Diglett,Ground,NA,265,10,55,25,35,45,95,FALSE,1,https://img.pokemondb.net/sprites/home/normal/diglett.png
50,Diglett Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/diglett-alolan-diglett.png
51,Dugtrio,Ground,NA,425,35,100,50,50,70,120,FALSE,1,https://img.pokemondb.net/sprites/home/normal/dugtrio.png
51,Dugtrio Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,FALSE,1,https://img.pokemondb.net/sprites/home/normal/dugtrio-alolan-dugtrio.png
52,Meowth,Normal,NA,290,40,45,35,40,40,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/meowth.png
52,Meowth Alolan Meowth,Dark,NA,290,40,35,35,50,40,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/meowth-alolan-meowth.png
52,Meowth Galarian Meowth,Steel,NA,290,50,65,55,40,40,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/meowth-galarian-meowth.png
53,Persian,Normal,NA,440,65,70,60,65,65,115,FALSE,1,https://img.pokemondb.net/sprites/home/normal/persian.png
53,Persian Alolan Persian,Dark,NA,440,65,60,60,75,65,115,FALSE,1,https://img.pokemondb.net/sprites/home/normal/persian-alolan-persian.png
54,Psyduck,Water,NA,320,50,52,48,65,50,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/psyduck.png
55,Golduck,Water,NA,500,80,82,78,95,80,85,FALSE,1,https://img.pokemondb.net/sprites/home/normal/golduck.png
56,Mankey,Fighting,NA,305,40,80,35,35,45,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/mankey.png
57,Primeape,Fighting,NA,455,65,105,60,60,70,95,FALSE,1,https://img.pokemondb.net/sprites/home/normal/primeape.png
58,Growlithe,Fire,NA,350,55,70,45,70,50,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/growlithe.png
58,Growlithe Hisuian Growlithe,Fire,Rock,350,60,75,45,65,50,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/growlithe-hisuian-growlithe.png
59,Arcanine,Fire,NA,555,90,110,80,100,80,95,FALSE,1,https://img.pokemondb.net/sprites/home/normal/arcanine.png
59,Arcanine Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/arcanine-hisuian-arcanine.png
60,Poliwag,Water,NA,300,40,50,40,40,40,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/poliwag.png
61,Poliwhirl,Water,NA,385,65,65,65,50,50,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/poliwhirl.png
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/poliwrath.png
63,Abra,Psychic,NA,310,25,20,15,105,55,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/abra.png
64,Kadabra,Psychic,NA,400,40,35,30,120,70,105,FALSE,1,https://img.pokemondb.net/sprites/home/normal/kadabra.png
65,Alakazam,Psychic,NA,500,55,50,45,135,95,120,FALSE,1,https://img.pokemondb.net/sprites/home/normal/alakazam.png
65,Alakazam Mega Alakazam,Psychic,NA,600,55,50,65,175,105,150,FALSE,1,https://img.pokemondb.net/sprites/home/normal/alakazam-mega-alakazam.png
66,Machop,Fighting,NA,305,70,80,50,35,35,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/machop.png
67,Machoke,Fighting,NA,405,80,100,70,50,60,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/machoke.png
68,Machamp,Fighting,NA,505,90,130,80,65,85,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/machamp.png
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/bellsprout.png
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/weepinbell.png
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/victreebel.png
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/tentacool.png
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/tentacruel.png
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,FALSE,1,https://img.pokemondb.net/sprites/home/normal/geodude.png
74,Geodude Alolan Geodude,Rock,Electric,300,40,80,100,30,30,20,FALSE,1,https://img.pokemondb.net/sprites/home/normal/geodude-alolan-geodude.png
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/graveler.png
75,Graveler Alolan Graveler,Rock,Electric,390,55,95,115,45,45,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/graveler-alolan-graveler.png
76,Golem,Rock,Ground,495,80,120,130,55,65,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/golem.png
76,Golem Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/golem-alolan-golem.png
77,Ponyta,Fire,NA,410,50,85,55,65,65,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/ponyta.png
77,Ponyta Galarian Ponyta,Psychic,NA,410,50,85,55,65,65,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/ponyta-galarian-ponyta.png
78,Rapidash,Fire,NA,500,65,100,70,80,80,105,FALSE,1,https://img.pokemondb.net/sprites/home/normal/rapidash.png
78,Rapidash Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,FALSE,1,https://img.pokemondb.net/sprites/home/normal/rapidash-galarian-rapidash.png
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,FALSE,1,https://img.pokemondb.net/sprites/home/normal/slowpoke.png
79,Slowpoke Galarian Slowpoke,Psychic,NA,315,90,65,65,40,40,15,FALSE,1,https://img.pokemondb.net/sprites/home/normal/slowpoke-galarian-slowpoke.png
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/slowbro.png
80,Slowbro Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/slowbro-mega-slowbro.png
80,Slowbro Galarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/slowbro-galarian-slowbro.png
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/magnemite.png
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/magneton.png
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/farfetch'd.png
83,Farfetch'd Galarian Farfetch'd,Fighting,NA,377,52,95,55,58,62,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/farfetch'd-galarian-farfetch'd.png
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,FALSE,1,https://img.pokemondb.net/sprites/home/normal/doduo.png
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,FALSE,1,https://img.pokemondb.net/sprites/home/normal/dodrio.png
86,Seel,Water,NA,325,65,45,55,45,70,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/seel.png
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/dewgong.png
88,Grimer,Poison,NA,325,80,80,50,40,50,25,FALSE,1,https://img.pokemondb.net/sprites/home/normal/grimer.png
88,Grimer Alolan Grimer,Poison,Dark,325,80,80,50,40,50,25,FALSE,1,https://img.pokemondb.net/sprites/home/normal/grimer-alolan-grimer.png
89,Muk,Poison,NA,500,105,105,75,65,100,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/muk.png
89,Muk Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/muk-alolan-muk.png
90,Shellder,Water,NA,305,30,65,100,45,25,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/shellder.png
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/cloyster.png
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/gastly.png
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,FALSE,1,https://img.pokemondb.net/sprites/home/normal/haunter.png
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,FALSE,1,https://img.pokemondb.net/sprites/home/normal/gengar.png
94,Gengar Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,FALSE,1,https://img.pokemondb.net/sprites/home/normal/gengar-mega-gengar.png
95,Onix,Rock,Ground,385,35,45,160,30,45,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/onix.png
96,Drowzee,Psychic,NA,328,60,48,45,43,90,42,FALSE,1,https://img.pokemondb.net/sprites/home/normal/drowzee.png
97,Hypno,Psychic,NA,483,85,73,70,73,115,67,FALSE,1,https://img.pokemondb.net/sprites/home/normal/hypno.png
98,Krabby,Water,NA,325,30,105,90,25,25,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/krabby.png
99,Kingler,Water,NA,475,55,130,115,50,50,75,FALSE,1,https://img.pokemondb.net/sprites/home/normal/kingler.png
100,Voltorb,Electric,NA,330,40,30,50,55,55,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/voltorb.png
100,Voltorb Hisuian Voltorb,Electric,Grass,330,40,30,50,55,55,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/voltorb-hisuian-voltorb.png
101,Electrode,Electric,NA,490,60,50,70,80,80,150,FALSE,1,https://img.pokemondb.net/sprites/home/normal/electrode.png
101,Electrode Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,FALSE,1,https://img.pokemondb.net/sprites/home/normal/electrode-hisuian-electrode.png
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/exeggcute.png
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/exeggutor.png
103,Exeggutor Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/exeggutor-alolan-exeggutor.png
104,Cubone,Ground,NA,320,50,50,95,40,50,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/cubone.png
105,Marowak,Ground,NA,425,60,80,110,50,80,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/marowak.png
105,Marowak Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/marowak-alolan-marowak.png
106,Hitmonlee,Fighting,NA,455,50,120,53,35,110,87,FALSE,1,https://img.pokemondb.net/sprites/home/normal/hitmonlee.png
107,Hitmonchan,Fighting,NA,455,50,105,79,35,110,76,FALSE,1,https://img.pokemondb.net/sprites/home/normal/hitmonchan.png
108,Lickitung,Normal,NA,385,90,55,75,60,75,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/lickitung.png
109,Koffing,Poison,NA,340,40,65,95,60,45,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/koffing.png
110,Weezing,Poison,NA,490,65,90,120,85,70,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/weezing.png
110,Weezing Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/weezing-galarian-weezing.png
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,FALSE,1,https://img.pokemondb.net/sprites/home/normal/rhyhorn.png
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/rhydon.png
113,Chansey,Normal,NA,450,250,5,5,35,105,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/chansey.png
114,Tangela,Grass,NA,435,65,55,115,100,40,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/tangela.png
115,Kangaskhan,Normal,NA,490,105,95,80,40,80,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/kangaskhan.png
115,Kangaskhan Mega Kangaskhan,Normal,NA,590,105,125,100,60,100,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/kangaskhan-mega-kangaskhan.png
116,Horsea,Water,NA,295,30,40,70,70,25,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/horsea.png
117,Seadra,Water,NA,440,55,65,95,95,45,85,FALSE,1,https://img.pokemondb.net/sprites/home/normal/seadra.png
118,Goldeen,Water,NA,320,45,67,60,35,50,63,FALSE,1,https://img.pokemondb.net/sprites/home/normal/goldeen.png
119,Seaking,Water,NA,450,80,92,65,65,80,68,FALSE,1,https://img.pokemondb.net/sprites/home/normal/seaking.png
120,Staryu,Water,NA,340,30,45,55,70,55,85,FALSE,1,https://img.pokemondb.net/sprites/home/normal/staryu.png
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,FALSE,1,https://img.pokemondb.net/sprites/home/normal/starmie.png
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/mr.-mime.png
122,Mr. Mime Galarian Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/mr.-mime-galarian-mr.-mime.png
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,FALSE,1,https://img.pokemondb.net/sprites/home/normal/scyther.png
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,FALSE,1,https://img.pokemondb.net/sprites/home/normal/jynx.png
125,Electabuzz,Electric,NA,490,65,83,57,95,85,105,FALSE,1,https://img.pokemondb.net/sprites/home/normal/electabuzz.png
126,Magmar,Fire,NA,495,65,95,57,100,85,93,FALSE,1,https://img.pokemondb.net/sprites/home/normal/magmar.png
127,Pinsir,Bug,NA,500,65,125,100,55,70,85,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pinsir.png
127,Pinsir Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pinsir-mega-pinsir.png
128,Tauros,Normal,NA,490,75,100,95,40,70,110,FALSE,1,https://img.pokemondb.net/sprites/home/normal/tauros.png
129,Magikarp,Water,NA,200,20,10,55,15,20,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/magikarp.png
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,FALSE,1,https://img.pokemondb.net/sprites/home/normal/gyarados.png
130,Gyarados Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,FALSE,1,https://img.pokemondb.net/sprites/home/normal/gyarados-mega-gyarados.png
131,Lapras,Water,Ice,535,130,85,80,85,95,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/lapras.png
132,Ditto,Normal,NA,288,48,48,48,48,48,48,FALSE,1,https://img.pokemondb.net/sprites/home/normal/ditto.png
133,Eevee,Normal,NA,325,55,55,50,45,65,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/eevee.png
133,Eevee Partner Eevee,Normal,NA,435,65,75,70,65,85,75,FALSE,1,https://img.pokemondb.net/sprites/home/normal/eevee-partner-eevee.png
134,Vaporeon,Water,NA,525,130,65,60,110,95,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/vaporeon.png
135,Jolteon,Electric,NA,525,65,65,60,110,95,130,FALSE,1,https://img.pokemondb.net/sprites/home/normal/jolteon.png
136,Flareon,Fire,NA,525,65,130,60,95,110,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/flareon.png
137,Porygon,Normal,NA,395,65,60,70,85,75,40,FALSE,1,https://img.pokemondb.net/sprites/home/normal/porygon.png
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/omanyte.png
139,Omastar,Rock,Water,495,70,60,125,115,70,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/omastar.png
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,FALSE,1,https://img.pokemondb.net/sprites/home/normal/kabuto.png
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/kabutops.png
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,FALSE,1,https://img.pokemondb.net/sprites/home/normal/aerodactyl.png
142,Aerodactyl Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,FALSE,1,https://img.pokemondb.net/sprites/home/normal/aerodactyl-mega-aerodactyl.png
143,Snorlax,Normal,NA,540,160,110,65,65,110,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/snorlax.png
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,TRUE,1,https://img.pokemondb.net/sprites/home/normal/articuno.png
144,Articuno Galarian Articuno,Psychic,Flying,580,90,85,85,125,100,95,FALSE,1,https://img.pokemondb.net/sprites/home/normal/articuno-galarian-articuno.png
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,TRUE,1,https://img.pokemondb.net/sprites/home/normal/zapdos.png
145,Zapdos Galarian Zapdos,Fighting,Flying,580,90,125,90,85,90,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/zapdos-galarian-zapdos.png
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,TRUE,1,https://img.pokemondb.net/sprites/home/normal/moltres.png
146,Moltres Galarian Moltres,Dark,Flying,580,90,85,90,100,125,90,FALSE,1,https://img.pokemondb.net/sprites/home/normal/moltres-galarian-moltres.png
147,Dratini,Dragon,NA,300,41,64,45,50,50,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/dratini.png
148,Dragonair,Dragon,NA,420,61,84,65,70,70,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/dragonair.png
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/dragonite.png
150,Mewtwo,Psychic,NA,680,106,110,90,154,90,130,TRUE,1,https://img.pokemondb.net/sprites/home/normal/mewtwo.png
150,Mewtwo Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,FALSE,1,https://img.pokemondb.net/sprites/home/normal/mewtwo-mega-mewtwo-x.png
150,Mewtwo Mega Mewtwo Y,Psychic,NA,780,106,150,70,194,120,140,FALSE,1,https://img.pokemondb.net/sprites/home/normal/mewtwo-mega-mewtwo-y.png
151,Mew,Psychic,NA,600,100,100,100,100,100,100,TRUE,1,https://img.pokemondb.net/sprites/home/normal/mew.png
152,Chikorita,Grass,NA,318,45,49,65,49,65,45,FALSE,2,https://img.pokemondb.net/sprites/home/normal/chikorita.png
153,Bayleef,Grass,NA,405,60,62,80,63,80,60,FALSE,2,https://img.pokemondb.net/sprites/home/normal/bayleef.png
